BELU	shares	BELU
BSPB	shares	BSPB
GAZP	shares	GAZP
LKOH	shares	LKOH
LSNGP	shares	LSNGP
MGNT	shares	MGNT
MOEX	shares	MOEX
MRKC	shares	MRKC
MSNG	shares	MSNG
MTSS	shares	MTSS
NLMK	shares	NLMK
NMTP	shares	NMTP
NVTK	shares	NVTK
OZON	shares	OZON
OZPH	shares	OZPH
PHOR	shares	PHOR
ROSN	shares	ROSN
UGLD	shares	RU000A0JPP37
DOMRF	shares	RU000A0ZZFU5
RU000A1002V2	shares	RU000A1002V2
HEAD	shares	RU000A107662
YDEX	shares	RU000A107T19
RU000A108X38	shares	RU000A108X38
SBER	shares	SBER
SBERP	shares	SBERP
SELG	shares	SELG
SNGSP	shares	SNGSP
T	shares	T
TATNP	shares	TATNP
TRNFP	shares	TRNFP
RU000A0JXE06	bonds	RU000A0JXE06
RU000A1006C3	bonds	RU000A1006C3
LQDT	shares	RU000A1014L8
RU000A101F94	bonds	RU000A101F94
RU000A1025A7	bonds	RU000A1025A7
RU000A103BR0	bonds	RU000A103BR0
RU000A105DS9	bonds	RU000A105DS9
RU000A106ZL5	bonds	RU000A106ZL5
RU000A107CG2	bonds	RU000A107CG2
RU000A107HG1	bonds	RU000A107HG1
RU000A108EE1	bonds	RU000A108EE1
RU000A108EF8	bonds	RU000A108EF8
RU000A108EH4	bonds	RU000A108EH4
RU000A10A7S0	bonds	RU000A10A7S0
RU000A10AS02	bonds	RU000A10AS02
RU000A10ATT8	bonds	RU000A10ATT8
RU000A10AV15	bonds	RU000A10AV15
RU000A10B008	bonds	RU000A10B008
RU000A10B2J9	bonds	RU000A10B2J9
RU000A10B4A4	bonds	RU000A10B4A4
RU000A10B4K3	bonds	RU000A10B4K3
RU000A10B933	bonds	RU000A10B933
RU000A10BGU1	bonds	RU000A10BGU1
RU000A10BQV8	bonds	RU000A10BQV8
RU000A10BU07	bonds	RU000A10BU07
RU000A10BVH7	bonds	RU000A10BVH7
RU000A10BYZ3	bonds	RU000A10BYZ3
RU000A10CMQ5	bonds	RU000A10CMQ5
RU000A10CRC4	bonds	RU000A10CRC4
RU000A10CU55	bonds	RU000A10CU55
RU000A10CZC7	bonds	RU000A10CZC7
RU000A10D1W2	bonds	RU000A10D1W2
RU000A10D4V8	bonds	RU000A10D4V8
RU000A10D517	bonds	RU000A10D517
RU000A10D533	bonds	RU000A10D533
RU000A10D806	bonds	RU000A10D806
RU000A10DA41	bonds	RU000A10DA41
RU000A10DBA0	bonds	RU000A10DBA0
RU000A10DQL5	bonds	RU000A10DQL5
RU000A10DTA2	bonds	RU000A10DTA2
RU000A10DTF1	bonds	RU000A10DTF1
RU000A10E7W8	bonds	RU000A10E7W8
RU000A10EA08	bonds	RU000A10EA08
RU000A10EA40	bonds	RU000A10EA40
RU000A10ECK5	bonds	RU000A10ECK5
TGLD	shares	RU000A101X50
RU000A10ELF6	bonds	RU000A10ELF6
